Date,Price,Open,High,Low,Vol.,Change %
12/09/1995,962.87,958.44,962.88,956.22,13.81M,0.44%
12/08/1995,958.62,960.55,963.99,954.03,19.39M,-0.20%
12/07/1995,960.57,954.95,965.33,954.95,21.79M,0.62%
12/06/1995,954.61,947.85,959.47,947.85,21.44M,0.81%
12/05/1995,946.98,934.98,946.98,934.98,17.15M,1.29%
12/04/1995,934.95,930.79,937.41,929.62,12.09M,0.40%
12/02/1995,931.23,938.53,938.53,925.73,11.86M,-0.83%
12/01/1995,939,930.69,939.3,929.59,14.41M,0.87%
11/30/1995,930.92,947.88,947.88,930.92,20.22M,-1.83%
11/29/1995,948.31,952.98,953.54,947.07,17.23M,-0.48%
11/28/1995,952.89,949.11,956.73,949.11,23.93M,0.39%
11/27/1995,949.23,942.69,951.55,942.38,21.49M,0.71%
11/25/1995,942.5,944.74,948.74,936.47,14.36M,-0.25%
11/24/1995,944.85,932.3,949.38,932.3,21.20M,1.32%
11/23/1995,932.58,921.2,932.62,921.2,16.52M,1.25%
11/22/1995,921.03,918.33,925.95,914.19,16.16M,0.33%
11/21/1995,917.97,931.14,931.14,913.72,15.90M,-1.47%
11/20/1995,931.64,945.06,945.06,931.64,14.23M,-1.55%
11/18/1995,946.35,952.36,953.2,945.55,13.23M,-0.63%
11/17/1995,952.37,933.92,952.37,933.92,20.10M,1.97%
11/16/1995,933.95,936.92,941.34,932.57,20.07M,-0.33%
11/15/1995,937.04,948.23,954.17,937.04,25.09M,-1.19%
11/14/1995,948.34,953.85,956.62,946.94,17.06M,-0.60%
11/13/1995,954.04,974.86,974.86,954.04,17.26M,-2.28%
11/11/1995,976.25,965.98,976.65,965.98,15.25M,1.07%
11/10/1995,965.95,970.58,970.58,960.36,19.50M,-0.51%
11/09/1995,970.91,979.51,979.51,964.11,22.99M,-1.01%
11/08/1995,980.84,987.5,990.67,980.8,24.24M,-0.70%
11/07/1995,987.72,992.71,994.09,983.03,23.26M,-0.51%
11/06/1995,992.77,990.02,995.96,989.76,23.49M,0.28%
11/04/1995,989.97,989.71,992.37,987.53,16.45M,0.02%
11/03/1995,989.74,994.25,994.25,986.34,20.37M,-0.50%
11/02/1995,994.68,997.5,998.88,994.01,21.98M,-0.28%
11/01/1995,997.52,990.47,997.68,990.27,21.24M,0.73%
10/31/1995,990.26,982.76,990.28,982.07,20.95M,0.75%
10/30/1995,982.87,991.36,991.36,982.11,16.08M,-0.93%
10/28/1995,992.05,"1,001.37","1,001.37",992.05,13.90M,-0.93%
10/27/1995,"1,001.37","1,001.15","1,011.46",999.05,29.27M,0.02%
10/26/1995,"1,001.15",997.88,"1,005.01",997.4,26.67M,0.33%
10/25/1995,997.88,992.76,"1,003.26",992.47,30.26M,0.52%
10/24/1995,992.76,976.33,992.76,975.51,22.66M,1.68%
10/23/1995,976.39,999.25,999.25,975.66,25.06M,-2.31%
10/21/1995,999.5,994.89,"1,003.00",993.56,15.47M,0.46%
10/20/1995,994.89,995.4,998.31,989.72,22.08M,-0.53%
10/19/1995,"1,000.22","1,006.70","1,007.46",995.29,25.38M,-0.64%
10/18/1995,"1,006.70","1,005.78","1,009.96","1,005.76",27.42M,0.09%
10/17/1995,"1,005.78","1,007.48","1,010.13","1,002.59",25.92M,-0.17%
10/16/1995,"1,007.48","1,016.77","1,019.84","1,007.48",26.38M,-0.91%
10/14/1995,"1,016.77","1,014.30","1,019.05","1,014.27",21.59M,0.24%
10/13/1995,"1,014.30","1,016.66","1,018.50","1,010.92",34.33M,-0.23%
10/12/1995,"1,016.66","1,011.00","1,022.49","1,011.00",39.15M,0.56%
10/11/1995,"1,011.00","1,004.16","1,011.87","1,004.02",34.44M,0.68%
10/10/1995,"1,004.16","1,008.29","1,015.24","1,003.73",30.11M,-0.41%
10/09/1995,"1,008.29","1,003.40","1,015.12","1,003.40",36.43M,0.49%
10/07/1995,"1,003.40","1,002.07","1,010.35","1,002.07",23.01M,0.13%
10/06/1995,"1,002.07",989.05,"1,007.49",989.05,35.63M,1.32%
10/05/1995,989.05,982.7,989.24,977.81,27.52M,0.63%
10/04/1995,982.89,975.62,987.69,974.05,21.27M,0.73%
10/02/1995,975.79,982.43,984.35,974.71,18.87M,-0.70%
09/30/1995,982.65,987.07,988.87,981.38,18.36M,-0.45%
09/29/1995,987.1,985.93,990.3,985.71,30.29M,0.12%
09/28/1995,985.88,980.92,990.03,980.24,31.45M,0.52%
09/27/1995,980.78,983.75,985.56,979.86,23.26M,-0.31%
09/26/1995,983.82,983.99,985.75,977.69,23.64M,-0.14%
09/25/1995,985.2,990.84,998.54,985.2,26.27M,-0.62%
09/23/1995,991.33,997.55,997.55,987.36,21.21M,-0.64%
09/22/1995,997.73,"1,012.29","1,013.64",997.73,39.14M,-1.44%
09/21/1995,"1,012.29","1,009.39","1,020.44","1,008.55",56.23M,0.28%
09/20/1995,"1,009.47",992.57,"1,009.51",988.48,44.62M,1.70%
09/19/1995,992.57,"1,000.21","1,014.65",992.57,61.88M,-0.76%
09/18/1995,"1,000.21",995.57,"1,001.33",989.67,57.15M,0.47%
09/16/1995,995.57,985.71,996.7,985.71,42.64M,1.01%
09/15/1995,985.64,965.86,985.65,965.86,51.87M,2.06%
09/14/1995,965.72,968.88,980.51,963.18,67.35M,-0.27%
09/13/1995,968.32,952.31,968.54,952.31,54.42M,1.68%
09/12/1995,952.28,950.89,956.22,949.32,36.84M,0.14%
09/11/1995,950.98,954.05,958.45,945.39,29.07M,-0.30%
09/07/1995,953.81,944.52,955.69,944.52,40.81M,0.98%
09/06/1995,944.52,929.02,944.71,929.02,32.20M,1.67%
09/05/1995,928.96,922.36,929.09,920.5,25.43M,0.70%
09/04/1995,922.49,918.47,924.21,918.47,19.34M,0.40%
09/02/1995,918.82,911.12,923.38,911.04,14.21M,0.82%
09/01/1995,911.36,913.67,917,905.1,18.00M,-0.30%
08/31/1995,914.06,913.88,917.39,909.36,22.97M,-0.07%
08/30/1995,914.71,915.51,918.12,914.1,19.72M,-0.19%
08/29/1995,916.46,922.17,922.24,914.6,24.71M,-0.65%
08/28/1995,922.44,921.7,928.36,918.84,25.61M,0.08%
08/26/1995,921.69,921.05,922.11,915.1,18.05M,0.06%
08/25/1995,921.1,926.99,929.17,921.04,30.30M,-0.72%
08/24/1995,927.82,925.72,929.1,925.42,42.40M,0.22%
08/23/1995,925.81,917.79,926.43,917.79,39.79M,0.87%
08/22/1995,917.79,913.34,918.53,913.34,35.35M,0.49%
08/21/1995,913.31,908.8,915.74,908.51,44.57M,0.16%
08/19/1995,911.88,906.9,912.03,906.31,33.48M,0.55%
08/18/1995,906.9,902.73,907.05,895.85,29.93M,0.45%
08/17/1995,902.82,904.29,904.72,896.23,49.70M,-0.18%
08/16/1995,904.44,908.82,911.57,901.37,28.86M,-0.47%
08/14/1995,908.69,910.16,916.98,908.69,33.06M,-0.15%
08/12/1995,910.03,914.18,915.66,908.3,34.93M,-0.46%
08/11/1995,914.23,916.2,920.01,910.28,48.91M,-0.19%
08/10/1995,916.01,924.69,929.15,913.68,39.69M,-0.91%
08/09/1995,924.41,902.21,924.46,902.21,30.00M,2.50%
08/08/1995,901.87,907.37,912.65,898.95,26.36M,-0.66%
08/07/1995,907.84,913.89,914.15,907.84,24.41M,-0.69%
08/05/1995,914.16,917.65,922.09,914.1,19.94M,-0.36%
08/04/1995,917.47,922.86,922.86,911.77,25.08M,-0.59%
08/03/1995,922.95,935.7,935.7,921.92,24.06M,-1.36%
08/02/1995,935.7,944.41,944.71,933.35,30.99M,-0.94%
08/01/1995,944.6,933.34,945,932.59,25.84M,1.18%
07/31/1995,933.57,928.47,933.57,927.16,21.49M,0.53%
07/29/1995,928.64,932.78,935.55,928.61,17.79M,-0.45%
07/28/1995,932.82,940.64,941.09,932.75,27.57M,-0.84%
07/27/1995,940.75,946.05,950.63,940.75,31.84M,-0.55%
07/26/1995,945.99,953.43,957.44,944.32,36.66M,-0.79%
07/25/1995,953.53,964.72,966.77,953.27,39.71M,-1.23%
07/24/1995,965.36,962.94,968.89,962.91,48.28M,0.22%
